localization_key,English_reference,English_display
dial_katerina__asi_mas_pr_3Cht,I suppose you're right… Here you have my thanks for your help. For everything that you've done!,I suppose you're right. Here's something for your help. For everything you've done!
dial_katerina__ja_ho_potk_0uRq,I met him a few times and he didn't seem like someone… Like a cold-blooded murderer.,I met him a few times and he didn't seem like someone who'd… Like a cold-blooded murderer.
dial_katerina__nu_dobra_k_uopa,"Good. I have no reason to doubt you. I just thought I was a better judge of people. Well, you helped me and I shall reward you for it. Here, take this.","Alright. I've no reason to doubt you. I just thought I was a better judge of people. Well, you helped me and I'll reward you for it. Here, take this."
dial_katerina__ten_muzika_kgZ0,That musician? Where is he now?,That minstrel? Where is he now?
dial_katerina__to_to_ses__61aL,That… is very kind of you Henry. I truly appreciate you taking it upon yourself.,That's… very kind of you Henry. I truly appreciate you taking it upon yourself.
dial_katerina_a_co_by_ji__4qvi,Why shouldn't it be fine?,Why wouldn't it be fine?
dial_katerina_a_dekuju_ti_jEUq,And thank you. I owe you.,And thank you. I owe you one.
dial_katerina_a_jindro_6azY,And Henry...?,And Henry?
dial_katerina_a_komu_zale_XDbC,Who cares about some king?,Who gives a damn about some king?
dial_katerina_ach_jo_co_j_JrZG,Oh well… What else could I expect from you…,Ah… What else could I expect from you?
dial_katerina_ale_hlavne__jGHb,"But he won't cause trouble now, that's the main thing. We've got more important things on our plate.",But the main thing is he won't cause any more trouble. We've got more important things to worry about.
dial_katerina_ale_kdy_mas_SL1N,"That you are, but too early. I said this evening.","So I see, but you're too early. I said in the evening."
dial_katerina_chvala_bohu_I2tH,Thank God! How did you persuade him to stop?,Thank God! How did you convince him to stop?
dial_katerina_dekuju_ti_PsfJ,I owe you. Thank you. You’re a champion lad.,"Thank you, you're a good man. I owe you one."
dial_katerina_doufam_ze_j_axSp,"I hope it's important. The less we're seen together, the better…","I hope it's important. The less we're seen together, the better."
dial_katerina_je_od_tebe__KDuX,"That's nice of you, helping some unfortunate girls… But I wasn't there. You're mistaking me for someone else.","That's nice of you, helping some unfortunate girl. But it wasn't me. You're mistaking me for someone else."
dial_katerina_jo_chlapy_j_e4BQ,"Men, men. As if the world revolved around you…","Men, men! As if everything revolved around you!"
dial_katerina_konecne_nej_2WuY,You're right…,You're right.
dial_katerina_musim_ti_to_leWI,"Alright, but you'd better come this evening, we're too visible right now.","Alright, but you'd better come this evening, we're too easily seen right now."
dial_katerina_musis_co_sa_AWb8,You must…? What the hell must you do? Kill?,Have to? You have to keep killing?
dial_katerina_musite_vy_p_i4Lx,You must! There is always something you must do…!,"Aye, there's always some ""we must"" with you fellahs!"
dial_katerina_na_muj_vkus_wXJy,"Sounds too good to be true. You'd better be careful, in case he tries to double-cross you as well…","Sounds too good to be true. You'd better be careful, in case he tries to double-cross you as well."
dial_katerina_ne_vis_co_r_ewoE,"No, you know what? I'd rather you didn't say.","Actually, you know what? Don't tell me."
dial_katerina_nevim_co_ch_jrAr,I don't know what you want. I can't read your mind…,I don't know what you want. I can't figure you out.
dial_katerina_no_ja_nevim_Lipz,I don't know. At least there was only one man ogling me there. And I dealt with him.,"Well, I don't know. At least there was only one man ogling me there. And I dealt with him."
dial_katerina_pche_tyhle__hon0,Pfff. You and your big plans…,Pah! You lot and your big plans!
dial_katerina_pojd_za_mno_1ikr,Come on. I know a place where nobody will disturb us.,Come! I know a place where nobody will disturb us.
dial_katerina_proc_ja_se__Kcv9,Why do I even bother trying… You'll all just end up getting killed!,Why do I even bother trying? You'll all just end up getting killed!
dial_katerina_tak_dobre_t_5whp,"Alright, that's bad… Damn it!","Alright, that is bad. Damn it!"
dial_katerina_tak_ja_si_n_At3V,So I'll steal one somewhere. Can't be helped.,"Oh well, I suppose I'll just have to steal another pair."
dial_katerina_tak_uz_bez_thQB,And now go.,Now go.
dial_katerina_teda_oblejz_5Ntv,"Blimey... I've had lots of men try to chat me up, but this is the most pathetic attempt yet.","Blimey! I've had lots of men try to woo me with tall stories, but this is the most pathetic attempt yet."
dial_katerina_ten_jak_jse_mmm3,The guy I told you to go and see? Why would he kill him?,The fellow I told you to go and see? Why would he kill him?
dial_katerina_to_nezni_mo_py6c,That doesn't sound like good news...,That doesn't sound like good news.
dial_katerina_tusila_jsem_tEIA,I had a feeling Cherthan wouldn't stand for it. I just hope he doesn't start taking an interest in us...,I had a feeling Chertan wouldn't stand for it. I just hope he doesn't start taking an interest in us.
dial_katerina_zatracene_j_PY94,"Damn it, Henry, I was hoping you'd settle this… on the quiet.","Damn it, Henry, I was hoping you'd settle this… quietly."
dial_katerina_zni_to_hezk_mLDC,"It sounds nice, sure, but that's why I've got a bad feeling about it. You'd better be careful…","It sounds nice, aye, but that's why I've got a bad feeling about it. You'd better be careful."
dial_katerinin_myslel_jse_xDOg,"I thought we could sneak out of here, but I've if someone's wounded…","I thought we could sneak out of here, but if someone's wounded…"
dial_katerinin_poslouchej_G8HD,"Listen: my brother and the butcher's hand are guarding the wagon, but if we don't show up by daybreak, that means something's gone wrong, and they should leave!","Listen. My brother and the butcher's hand are guarding the wagon, but if we don't show up by daybreak, that means something's gone wrong, and they'll leave!"
dial_katerinin_projdes_me_PTyp,"Go between the rocks, up the hill, the head south.","Go between the rocks, up the hill, then head south."
dial_katerinin_pujdes_voc_fIU0,"Keep heading south from here until you come across a cliff split in two, near a broken carriage.",Keep heading south from here until you come across a cliff split in two. There's a broken-down wagon standing nearby.
dial_katerinin_vohlas_se__OGjw,"Don't forget to say the password, ""falcon"", to them too. So that they don't kill you on sight…","Don't forget to say the password, ""falcon"", to them too. So they don't kill you on sight…"
dial_knez_tros_o_hlavu_ta_pvTt,"Sorry, my lady, but it was mainly Lord Pirkstein's life that was in danger.","Sorry, My Lady, but it was mainly Lord Capon's life that was in danger."
dial_knez_tros_prosim_NAF9,"Who do you mean, my lady?","Who do you mean, My Lady?"
dial_knez_tros_tak_to_je__VK6U,"A true miracle, my lad. God clearly wanted you to be saved.","Truly divine intervention, my son. God clearly wanted you to be saved."
dial_komar_a_o_co_ti_jde_cstX,O co ci chodzi?,And what do you want?
dial_komar_jo_malesov_zro_4ybH,"Właśnie stamtąd wróciłem i jedno wiem na pewno. Ten zamek ma, kurwa, słuszne obwarowania.",I just came back from there and one thing I know for sure. This castle has damn good fortifications.
dial_konrad_z__ale_jestli_wb56,"But if that's not what you mean by horse, we have a bit of a problem…","But if you've got a different idea of what a horse is, then we'll have to discuss it."
dial_konrad_z__nijak_zadn_xLvK,"Nothing. I don't have one. But if I had to, I'd call him ""dog""…","Nothing. I don't have one. But if I had, I'd probably call him ""Dog""."
dial_konrad_z__no_vidis_a_8mDA,"Oh well. I don't even know how much I paid for that dun of mine. Or what's his name. I just call him ""horse"".","You know what? I don't even know how much I paid for that bay of mine. Or even what his name is. I just call him ""Horse""."
dial_konrad_z__no_vidite__nWcn,"You see, a mispronounced letter and the meaning's all different.","See now, just mispronounce the name and we're not talking about a horse, but a cock, heheh!"
dial_konrad_z__to_zalezi__hfUu,"It depends. Well, if we can all agree that Bucephalus signifies higher value, then yes…","It depends. Well, if we can all agree that the name Bucephalus signifies higher value, then yes."
dial_konrad_z__zadnou_nem_38cp,I don't have a wife. Nor will I. I am bound by a vow to our Lord.,I don't have a wife. Nor will I. I am bound by a vow to Our Lord.
dial_kovar_mis_hele_kdyz__iKu1,God damn it! I'd rather go broke than do anything  for that lot!,God damn it! I'd rather go broke than do anything for that lot!
dial_kovar_mis_hmm_mel_js_zDeK,Hmm… I had a piece of iron here… But just where did I…,Hmm… I had a piece of iron here… But just where did I…?
dial_kovar_mis_i_premek_d_r8Be,Even Premek got the stuffing kicked out of him.,Even Paskal got a pasting.
dial_kovar_mis_jasne_ze_n_phCF,I like the way you think. Here you go. That should do for two sets.,Indeed. Here you go. That should do for two sets.
dial_kovar_mis_musis_si_n_KLBN,Perhaps. I have enough of my own work to do!,If you like. I have enough of my own work to do!
dial_kovar_mis_promin_tak_JlCj,Hmmm. It seems you'll have to figure that out yourself.,Hmmm. It seems you'll have to figure it out for yourself.
dial_kovar_mis_tak_dobre_Ml3c,Well… Well… Alright.,Well… alright then.
dial_kovar_suc_cim_dal_hu_w1hR,"Worse and worse, pal. Since Sigismund came this way, I've had so much work I hardly sleep.","Worse and worse, friend. Since Sigismund came this way, I've had so much work, I hardly sleep."
dial_kovarka_v_ale_ze_by__eKJv,"But he would never want to hurt her. He might be a loudmouth, but he's harmless.","But he'd never hurt her. He might be a loudmouth, but he's harmless."
dial_kovarka_v_boze_to_ne_dQsm,"I don't know anything else! But go and ask Kuba, an older farmer. He was interested in her. Maybe he knows what happened to her.","I don't know anything else! But go and ask Kuba, the old farmer. He was keen on her. Maybe he knows what happened to her."
dial_kovarka_v_co_potrebu_vZqO,I… I don't know… Really. How horrible…,I… I don't know… Really. How horrible!
dial_kovarka_v_co_si_to_d_cOlk,"Threaten me, will you?","Threaten me, would you?"
dial_kovarka_v_dobre_sedl_sZZw,Fine… But you didn't hear this from me! Farmer Kuba thought quite a bit about her.,Fine… But you didn't hear this from me! Farmer Kuba was pretty keen on her. And he wasn't going to give up easy.
dial_kovarka_v_hm_tEgl,"That's true, you know.",That's true too.
dial_kovarka_v_mistni_hol_06iw,A girl from the village. She's a bit… unique. But deep down a good girl.,A girl from the village. She's a bit… different. But deep down a good girl.
dial_kovarka_v_mohl_bys_j_LFq9,"Now someone just needs to bring them to Victoria. Would you do that for me? Oh, my aching back!",Now someone just needs to bring the horseshoes to Victoria. Would you do that for me? This backache of mine...
dial_kovarka_v_mozna_mozn_NXnC,Sometimes there's talk about how she lives alone or how she makes her living.,Sometimes there's talk about how she lives alone and how she makes her living.
dial_kovarka_v_musime_mus_mqH4,Jesus Christ! What if someone…! No!,Jesus Christ! What if she's been…?! No!
dial_kovarka_v_navic_stal_yO67,"Besides, there's been a misfortune. A girl from the village, Viktorka, used to go to the camp hawking goods, but… not long ago her body was found on a hill in the woods.","Besides, there's been a misfortune. A girl from the village, Victoria, used to go to the camp hawking goods, but… not long ago her body was found on a hill in the woods."
dial_kovarka_v_nechci_pom_S7lz,"Things are a little different, you see. She lost her husband some time ago. A young widow, actually, a pretty young widow…","Things are a little different, you see. She lost her husband some time ago. A young widow, actually, a pretty young widow."
